id_cluster,juridiction,target_name,label_y,label_source,label_notes
348,DE,COMMERZBANK Aktiengesellschaft,,ongoing,UniCredit ongoing 2026 not closed
349,DE,Klöckner & Co SE,,ongoing,Worthington Steel feb 2026 recent
350,DE,PSI Software SE,1,EQS Warburg Pincus 2026,83.24% acceptance Q1 2026 delisting confirmed
351,DE,Turbon AG,1,Bundesanzeiger,Pflichtangebot mandatory typical small cap closed
352,DE,Readcrest Capital AG,1,Bundesanzeiger,Take-private small cap October 2025
353,DE,CECONOMY AG,,Bloomberg 2026-03,JD.com Austrian FDI pending uncertain
354,DE,Heidelberger Beteiligungsholding AG,1,Bundesanzeiger,Apeiron small cap mandatory closed
355,DE,Francotyp-Postalia Holding AG,1,Bundesanzeiger,SALTARAX partial Aug 2025 closed
356,DE,Leo International Precision Health AG,1,Bundesanzeiger,SCGI small cap mandatory
357,DE,PharmaSGP Holding SE,1,Bundesanzeiger,FUTRUE delisting Q3 2025 closed
358,DE,Francotyp-Postalia Holding AG,1,Bundesanzeiger,Self-delisting Aug 2025 closed
359,DE,artnet AG,1,Bundesanzeiger,Leonardo Art delisting Q3 2025
360,DE,H&R GmbH & Co. KGaA,1,Bundesanzeiger,Holding family take-private partial
361,DE,1&1 AG,1,EQS United Internet,Partial offer 85% completed July 2025
362,DE,ProSiebenSat.1 Media SE,1,EQS PPF/MFE,PPF partial offer reached 18.41% closed Aug 2025 then sold to MFE
363,DE,CompuGroup Medical SE & Co. KGaA,1,EQS CVC,Delisting effective June 24 2025
1059,DE,ProSiebenSat.1 Media SE,1,EQS MFE,MFE secured 75.61% Sep 2025
1060,DE,Biotest AG,1,EQS Grifols,Delisting Q2 2025 Grifols
1061,DE,Westag AG,1,Bundesanzeiger,Broadview delisting small cap
1062,DE,METRO AG,1,EQS Kretinsky,EP Global Commerce delisting offer closed
1063,DE,SNP Schneider-Neureither & Partner SE,1,EQS,Succession PE take-private closed
1064,DE,ABOUT YOU Holding SE,1,EQS Zalando,Zalando OPA volontaire totalitaria closed
1065,DE,ENCAVIS AG,1,EQS KKR,Elbe BidCo KKR mega PE deal delisting closed
1066,DE,CompuGroup Medical SE & Co. KGaA,1,EQS CVC,Initial takeover offer Dec 2024 then delisting
1067,DE,STEMMER IMAGING AG,1,EQS,VENTRIFOSSA BIDCO closed
1068,DE,MedNation AG,1,Bundesanzeiger,Self-delisting micro cap
1069,DE,NEXUS AG,1,EQS,Project Neptune Bidco TA Associates closed
1070,DE,Linus Digital Finance AG,1,Bundesanzeiger,Self-delisting micro cap
1071,DE,Klassik Radio AG,1,Bundesanzeiger,UK Media Invest small cap delisting
1072,DE,SURTECO GROUP SE,1,EQS,BANASINO INVESTMENTS Luxembourg PE closed
1073,DE,WCM Beteiligungs- und Grundbesitz-AG,1,Bundesanzeiger,TLG IMMOBILIEN delisting
1074,DE,Splendid Medien AG,1,Bundesanzeiger,Andreas Klein delisting micro cap
1075,DE,ALBA SE,1,Bundesanzeiger,ALBA self-delisting Q4 2024
1076,DE,Covestro AG,1,EU FSR ADNOC,FSR cleared Nov 14 2025 acceptance 91% closing Dec 2025
1077,DE,Albis Leasing AG,1,Bundesanzeiger,Hauschildt family take-private
1078,DE,DFV Deutsche Familienversicherung AG,1,Bundesanzeiger,Haron Holdings delisting Nov 2024
1079,DE,infas Holding AG,1,EQS Ipsos,Ipsos DACH closed Q4 2024
1080,DE,Philomaxcap AG,1,Bundesanzeiger,H2E Americas mandatory tiny cap
1081,DE,Stemmer Imaging AG,1,EQS,Initial voluntary offer Sep 2024 closed
1082,DE,New Work SE,1,EQS Burda,Burda Digital delisting closed
1083,DE,MorphoSys AG,1,SEC SC TO-T,Novartis delisting 91.66% acceptance May 2024
1084,DE,SYNLAB AG,1,EQS Cinven,Ephios Bidco Cinven delisting Q3 2024
5,FR,VINPAI,,2026 recent,Camlin Fine Sciences ongoing
7_1,FR,POULAILLON,,2026 recent,Recent visa April-May 2026
9_364,FR,SOCIETE DE LA TOUR EIFFEL,,2026 recent,Recent April 2026
11,FR,GAUMONT,,2026 recent,Recent April 2026
13_10_3_2,FR,MEDIA 6,1,ideal-investisseur 2026,Vasco SAS Vasseur 87.82% concert OPR ongoing but multi-stage 4 likely closes
14_4,FR,FNAC DARTY,,France24/Boursorama 2026-05,Kretinsky AMF feu vert may 2026 closing H2 2026 ongoing
17_15_8,FR,TERACT,1,AMF 2026-05-18,InVivo Group 99.62% retrait obligatoire imminent
20_26_12,FR,BALYO,1,BusinessWire 2025-12,SoftBank Silver Bands 91.28% squeeze-out
21_16,FR,GROUPE TERA,,2026 recent,Borderline early 2026
23_18,FR,UV GERMI,,2025-2026 borderline,Small cap insufficient signal
25_19,FR,SOCIETE DE TAYNINH,,2025-2026 borderline,Small cap insufficient signal
