id_cluster,juridiction,target_name,acquirer_name,deal_type,earliest_announcement_date,latest_event_date,events_count,expected_close_date,offer_price,currency,candidate_failure_flag,label_y,label_source,label_notes
348,DE,COMMERZBANK Aktiengesellschaft,UniCredit S.p.A,opa_volontaire_totalitaria,2026-05-05,2026-05-05,1,,1.000000,EUR,,,,
349,DE,Klöckner & Co SE,Worthington Steel GmbH,opa_volontaire_totalitaria,2026-02-05,2026-02-05,1,,11.000000,EUR,,,,
350,DE,PSI Software SE,Zest Bidco GmbH,opa_volontaire_totalitaria,2025-11-17,2025-11-17,1,,45.000000,EUR,,,,
351,DE,Turbon AG,S77 Holdings GmbH,opa_obligatoire,2025-10-21,2025-10-21,1,,3.340000,EUR,,,,
352,DE,Readcrest Capital AG,Obotritia Capital KGaA,opa_volontaire_totalitaria,2025-10-02,2025-10-02,1,2024-12-31,1.300000,EUR,,,,
353,DE,CECONOMY AG,JINGDONG HOLDING GERMANY GMBH,opa_volontaire_totalitaria,2025-09-01,2025-09-01,1,,4.600000,EUR,,,,
354,DE,Heidelberger Beteiligungsholding AG,Apeiron Investment Group Ltd,opa_obligatoire,2025-08-04,2025-08-04,1,2024-12-31,99.150000,EUR,,,,
355,DE,Francotyp-Postalia Holding AG,SALTARAX GmbH,opa_volontaire_parziale,2025-07-31,2025-07-31,1,2025-08-28,2.800000,EUR,,,,
356,DE,Leo International Precision Health Aktiengesellschaft,SCGI Corporate Finance GmbH,opa_obligatoire,2025-07-25,2025-07-25,1,,0.710000,EUR,,,,
357,DE,PharmaSGP Holding SE,FUTRUE GmbH,delisting_offer,2025-07-14,2025-07-14,1,,28.000000,EUR,,,,
358,DE,Francotyp-Postalia Holding AG,Francotyp-Postalia Holding AG,delisting_offer,2025-07-09,2025-07-09,1,2025-08-07,2.270000,EUR,,,,
359,DE,artnet AG,Leonardo Art Holdings GmbH,delisting_offer,2025-07-08,2025-07-08,1,,11.250000,EUR,,,,
360,DE,H&R GmbH & Co. KGaA,H&R Holding GmbH,opa_volontaire_parziale,2025-06-30,2025-06-30,1,,5.000000,EUR,,,,
361,DE,1&1 AG,United Internet AG,opa_volontaire_parziale,2025-06-05,2025-06-05,1,,18.500000,EUR,,,,
362,DE,ProSiebenSat.1 Media SE,PPF IM LTD,opa_volontaire_parziale,2025-06-04,2025-06-04,1,,7.000000,EUR,Y,,,
363,DE,CompuGroup Medical SE & Co . KGaA,Caesar BidCo GmbH,delisting_offer,2025-05-23,2025-05-23,1,2024-12-05,22.000000,EUR,,,,
1059,DE,ProSiebenSat.1 Media SE,MFE-MEDIAFOREUROPE N.V,opa_volontaire_totalitaria,2025-05-08,2025-05-08,1,,4.480000,EUR,Y,,,
1060,DE,Biotest Aktiengesellschaft,Grifols Biotest Holding GmbH,delisting_offer,2025-05-06,2025-05-06,1,,43.000000,EUR,,,,
1061,DE,Westag AG,Broadview Industries AG,delisting_offer,2025-05-05,2025-05-05,1,,30.760000,EUR,,,,
1062,DE,METRO AG,EP Global Commerce GmbH,delisting_offer,2025-03-19,2025-03-19,1,,5.330000,EUR,,,,
1063,DE,SNP Schneider-Neureither & Partner SE,Succession German Bidco GmbH,opa_volontaire_totalitaria,2025-01-31,2025-01-31,1,,61.000000,EUR,,,,
1064,DE,ABOUT YOU Holding SE,Zalando SE,opa_volontaire_totalitaria,2025-01-20,2025-01-20,1,,6.500000,EUR,,,,
1066,DE,CompuGroup Medical SE & Co . KGaA,Caesar BidCo GmbH,opa_volontaire_totalitaria,2024-12-23,2024-12-23,1,2024-12-05,22.000000,EUR,,,,
1065,DE,ENCAVIS AG,Elbe BidCo AG,delisting_offer,2024-12-23,2024-12-23,1,,17.500000,EUR,,,,
1068,DE,MedNation AG,MedNation AG,delisting_offer,2024-11-29,2024-11-29,1,,1.500000,EUR,,,,
1067,DE,STEMMER IMAGING AG,VENTRIFOSSSA BIDCO AG,delisting_offer,2024-11-29,2024-11-29,1,,48.000000,EUR,,,,
1069,DE,NEXUS AG,Project Neptune Bidco GmbH,opa_volontaire_totalitaria,2024-11-18,2024-11-18,1,,70.000000,EUR,,,,
1070,DE,Linus Digital Finance AG,Linus Holding GmbH,delisting_offer,2024-11-12,2024-11-12,1,,1.000000,EUR,,,,
1071,DE,Klassik Radio AG,UK Media Invest GmbH,delisting_offer,2024-11-11,2024-11-11,1,,3.700000,EUR,,,,
1072,DE,SURTECO GROUP SE,BANASINO INVESTMENTS S.à r.l,opa_obligatoire,2024-11-06,2024-11-06,1,,16.960000,EUR,,,,
1073,DE,WCM Beteiligungs- und Grundbesitz-Aktiengesellschaft,TLG IMMOBILIEN AG,delisting_offer,2024-11-05,2024-11-05,1,,2.020000,EUR,,,,
1074,DE,Splendid Medien AG,Andreas Klein Vermögensverwaltung GmbH,delisting_offer,2024-10-30,2024-10-30,1,,1.250000,EUR,,,,
1075,DE,ALBA SE,ALBA plc & Co . KG,delisting_offer,2024-10-28,2024-10-28,1,,7.940000,EUR,,,,
1076,DE,Covestro AG,ADNOC International Germany Holding AG,opa_volontaire_totalitaria,2024-10-25,2024-10-25,1,,62.000000,EUR,,,,
1077,DE,Albis Leasing AG,Herr Rolf Ernst Peter Jürgen Hauschildt,opa_volontaire_totalitaria,2024-10-21,2024-10-21,1,,2.800000,EUR,,,,
1078,DE,DFV Deutsche Familienversicherung AG,Haron Holdings S.A,delisting_offer,2024-10-14,2024-10-14,1,2024-11-11,2.000000,EUR,,,,
1079,DE,infas Holding Aktiengesellschaft,Ipsos DACH Holding AG,opa_volontaire_totalitaria,2024-10-07,2024-10-07,1,,1.000000,EUR,,,,
1080,DE,Philomaxcap AG,H2E Americas LLC,opa_obligatoire,2024-10-04,2024-10-04,1,,1.000000,EUR,,,,
1081,DE,Stemmer Imaging AG,Ventrifossa BidCo AG,opa_volontaire_totalitaria,2024-09-02,2024-09-02,1,,48.000000,EUR,,,,
1082,DE,New Work SE,Burda Digital SE,delisting_offer,2024-07-15,2024-07-15,1,,66.250000,EUR,,,,
1083,DE,MorphoSys AG,Novartis BidCo AG,delisting_offer,2024-07-04,2024-07-04,1,,68.000000,EUR,,,,
1084,DE,SYNLAB AG,Ephios Bidco GmbH,delisting_offer,2024-06-14,2024-06-14,1,,11.090000,EUR,,,,
5,FR,VINPAI,[pending parse],opa_simplifiee,2026-05-04,2026-05-04,1,,,,,,,
7_1,FR,POULAILLON,[pending parse],opa_simplifiee,2026-04-23,2026-05-18,2,,,,,,,
9_364,FR,SOCIETE DE LA TOUR EIFFEL,[pending parse],opr,2026-04-17,2026-05-19,2,,,,,,,
11,FR,GAUMONT,[pending parse],opr,2026-04-13,2026-04-13,1,,,,,,,
